kode;nama
92.06;Kabupaten Teluk Bintuni
92.06.01;Bintuni
92.06.01.1001;Bintuni Timur
92.06.01.1002;Bintuni Barat
92.06.01.2004;Tuasai
92.06.01.2005;Argosigemerai
92.06.01.2009;Beimes
92.06.01.2010;Iguriji
92.06.01.2022;Masina
92.06.01.2026;Wesiri
92.06.02;Merdey
92.06.02.2001;Merdey
92.06.02.2002;Meryeb
92.06.02.2004;Meyom
92.06.02.2007;Menggerba
92.06.02.2008;Anajero
92.06.02.2010;Mogromus
92.06.02.2011;Morombuy
92.06.02.2014;Mekiesefeb
92.06.02.2020;Meyetga
92.06.03;Babo
92.06.03.2020;Irarutu III
92.06.03.2021;Amutu
92.06.03.2022;Nusei
92.06.03.2023;Kasira
92.06.04;Aranday
92.06.04.2001;Aranday
92.06.04.2007;Kampung Baru
92.06.04.2008;Kecap
92.06.04.2009;Manunggal Karya
92.06.05;Moskona Selatan
92.06.05.2001;Jagiro
92.06.05.2004;Meyenda
92.06.05.2005;Rawara
92.06.05.2006;Barma Barat
92.06.05.2011;Inggof
92.06.06;Moskona Utara
92.06.06.2001;Moyeba
92.06.06.2004;Merestim
92.06.06.2005;Inofina
92.06.06.2006;Mosum
92.06.07;Wamesa
92.06.07.2001;Wamesa I/Idoor
92.06.07.2002;Wamesa II/Yakati
92.06.07.2003;Yansei
92.06.07.2004;Mamuranu
92.06.08;Fafurwar
92.06.08.2001;Fruata/Irowutu II
92.06.08.2002;Meryedi
92.06.08.2003;Riendo
92.06.09;Tembuni
92.06.09.2001;Tembuni
92.06.09.2002;Mogoi Baru
92.06.09.2003;Araisum
92.06.09.2004;Bangun Mulya
92.06.10;Kuri
92.06.10.2001;Sarbe
92.06.10.2002;Wagura
92.06.10.2003;Refideso
92.06.10.2004;Naramasa
92.06.10.2005;Obo
92.06.11;Manimeri
92.06.11.2001;Bumi Saniari
92.06.11.2002;Banjar Ausoy
92.06.11.2003;Waraitama
92.06.11.2004;Atibo Manimeri
92.06.11.2005;Pasamai
92.06.11.2006;Korano Jaya
92.06.12;Tuhiba
92.06.12.2001;Tuhiba
92.06.12.2002;Tisaida
92.06.12.2003;Kucir
92.06.12.2004;Sibena Raya
92.06.12.2005;Sibena Permai
92.06.13;Dataran Beimes
92.06.13.2001;Horna
92.06.13.2002;Cumnaji
92.06.13.2003;Menci
92.06.13.2004;Sir
92.06.13.2005;Huss
92.06.13.2006;Ugdohop
92.06.14;Sumuri
92.06.14.2001;Tofoi
92.06.14.2002;Tanah Merah
92.06.14.2003;Saengga
92.06.14.2004;Forada
92.06.14.2005;Materabu Jaya
92.06.15;Kaitaro
92.06.15.2001;Sara
92.06.15.2002;Warga Nusa I
92.06.15.2003;Warga Nusa II
92.06.15.2004;Tugarama
92.06.15.2005;Suga
92.06.16;Aroba
92.06.16.2001;Aroba
92.06.16.2002;Yaru
92.06.16.2003;Sido Makmur
92.06.16.2004;Wimbro
92.06.16.2005;Sangguar
92.06.17;Masyeta
92.06.17.2001;Masyeta
92.06.17.2002;Mestofu
92.06.17.2003;Kalibiru
92.06.17.2004;Mesomda
92.06.18;Biscoop
92.06.18.2001;Jahabra
92.06.18.2002;Ibori
92.06.18.2003;Menyembru
92.06.18.2004;Meyorga
92.06.18.2005;Laudoho
92.06.18.2006;Eniba
92.06.18.2007;Mowitka
92.06.19;Tomu
92.06.19.2001;Sebyar Rejosasi
92.06.19.2002;Tomu
92.06.19.2003;Taroy
92.06.19.2004;Ekam
92.06.20;Kamundan
92.06.20.2001;Kalitami I
92.06.20.2002;Kalitami II
92.06.20.2003;Kenara
92.06.20.2004;Bibiram
92.06.21;Weriagar
92.06.21.2001;Weriagar
92.06.21.2002;Mogotira
92.06.21.2003;Weriagar Baru
92.06.21.2004;Weriagar Utara
92.06.21.2005;Tuanaikin
92.06.22;Moskona Barat
92.06.22.2001;Meyerga
92.06.22.2002;Macok
92.06.22.2003;Istiwkem
92.06.22.2004;Majnic
92.06.23;Meyado
92.06.23.2001;Meyado
92.06.23.2002;Barma
92.06.23.2003;Barma Baru
92.06.23.2004;Vasco Damneen
92.06.24;Moskona Timur
92.06.24.2001;Igomu
92.06.24.2002;Mesna
92.06.24.2003;Sumuy
